method,silhouette,calinski_harabasz,davies_bouldin,ARI,NMI,purity,clusters_effective,noise_frac
Audio10k PCA(16)+KMeans(k=2),0.38778096437454224,6297.51171875,1.188572427547617,0.5766482798670872,0.5560231236433647,0.8797,2,0.0
Audio10k VAE(latent=16)+KMeans(k=2),0.3831992745399475,4818.72802734375,1.2160438736076722,0.8463846952292949,0.7761521017527219,0.96,2,0.0
